Company,ESG Risk Rating,Score
"Ricoh Co., Ltd.",Low ESG Risk,15.7
"Ricoh Leasing Co., Ltd.",Medium ESG Risk,27.0
Ridley Corp. Ltd.,Severe ESG Risk,40.6
Rieter Holding AG,High ESG Risk,34.1
"Rigel Pharmaceuticals, Inc.",Medium ESG Risk,26.6
"RIGHT ON Co., Ltd.",Medium ESG Risk,20.7
Rightmove Plc,Low ESG Risk,18.4
Riken Corp.,Medium ESG Risk,20.4
"Riken Keiki Co., Ltd.",Low ESG Risk,14.1
Riken Technos Corp.,High ESG Risk,31.9
"Riken Vitamin Co., Ltd.",Medium ESG Risk,29.0
"Riley Exploration Permian, Inc.",Severe ESG Risk,51.7
"Rimini Street, Inc.",Medium ESG Risk,20.9
"Ring Energy, Inc.",Severe ESG Risk,53.1
"RingCentral, Inc.",Medium ESG Risk,21.4
"Ringer Hut Co., Ltd.",High ESG Risk,35.8
Ringkjøbing Landbobank A/S,Medium ESG Risk,23.5
Rinnai Corp.,Medium ESG Risk,26.2
Rio Tinto Ltd.,High ESG Risk,32.5
RioCan Real Estate Investment Trust,Low ESG Risk,12.4
"Riot Platforms, Inc.",High ESG Risk,37.3
Ripley Corp. SA,Medium ESG Risk,22.2
"Risen Energy Co., Ltd.",High ESG Risk,31.4
"RiseSun Real Estate Development Co., Ltd.",Medium ESG Risk,23.9
Riskified Ltd.,Medium ESG Risk,26.6
Riso Kagaku Corp.,Medium ESG Risk,21.9
"Riso Kyoiku Co., Ltd.",Medium ESG Risk,20.2
Rite Aid Corp.,Medium ESG Risk,27.9
Ritek Corp.,Medium ESG Risk,20.6
RITES Ltd.,Low ESG Risk,19.2
Rithm Capital Corp.,Low ESG Risk,16.1
"Riverside Group, Inc.",Low ESG Risk,13.2
Riverstone Holdings Ltd.,Low ESG Risk,15.0
"Rivian Automotive, Inc.",High ESG Risk,31.4
Riyad Bank,Medium ESG Risk,28.7
Riyad REIT,Medium ESG Risk,21.8
Riyadh Cables Group Co.,Medium ESG Risk,28.8
Riyadh Cement Co.,Severe ESG Risk,40.7
"Riyue Heavy Industry Co., Ltd.",High ESG Risk,33.5
Rizal Commercial Banking Corp.,Medium ESG Risk,27.1
Rizzo Group AB,Medium ESG Risk,20.8
"RL Commercial REIT, Inc.",Medium ESG Risk,22.0
RLI Corp.,Medium ESG Risk,28.5
RLJ Lodging Trust,Low ESG Risk,18.8
"RLX Technology, Inc.",Medium ESG Risk,25.2
RMPA Services Plc,Medium ESG Risk,26.4
Road King Infrastructure Ltd.,Medium ESG Risk,21.8
ROADIS Transportation Holding SLU,Negligible ESG Risk,3.9
Robert Bosch GmbH,Low ESG Risk,15.1
"Robert Half, Inc.",Low ESG Risk,10.8
Robert Walters Plc,Low ESG Risk,12.8
Robertet SA,High ESG Risk,31.6
"Robinhood Markets, Inc.",Medium ESG Risk,29.2
Robinsons Land Corp.,Low ESG Risk,17.9
"Robinsons Retail Holdings, Inc.",Medium ESG Risk,25.9
Roblox Corp.,Low ESG Risk,17.9
"Robot Home, Inc.",Low ESG Risk,15.8
Roche Holding AG,Medium ESG Risk,23.6
"Rock Field Co., Ltd.",Severe ESG Risk,42.5
"Rockchip Electronics Co., Ltd.",Severe ESG Risk,42.2
"Rocket Cos., Inc.",Medium ESG Risk,27.5
"Rocket Lab USA, Inc.",High ESG Risk,39.9
"Rocket Pharmaceuticals, Inc.",Medium ESG Risk,29.1
"Rockwell Automation, Inc.",Low ESG Risk,19.1
ROCKWOOL A/S,Medium ESG Risk,22.0
"Rocky Brands, Inc.",Medium ESG Risk,22.1
"Rogers Communications, Inc.",Medium ESG Risk,22.7
Rogers Corp.,Medium ESG Risk,20.1
"Rogers Sugar, Inc.",High ESG Risk,33.4
"ROHM Co., Ltd.",Medium ESG Risk,27.5
"Rohto Pharmaceutical Co., Ltd.",High ESG Risk,35.3
Roivant Sciences Ltd.,Medium ESG Risk,27.5
"Rokko Butter Co., Ltd.",Severe ESG Risk,45.9
"Roku, Inc.",Low ESG Risk,17.2
Roland Corp.,Low ESG Risk,13.9
Roland DG Corp.,Medium ESG Risk,21.4
Rolex Rings Ltd.,High ESG Risk,34.9
"Rollins, Inc.",Low ESG Risk,19.3
Rolls-Royce Holdings Plc,Medium ESG Risk,24.8
Romande Energie Holding SA,Severe ESG Risk,42.2
"Rongan Property Co., Ltd.",Medium ESG Risk,24.3
"Rongsheng Petrochemical Co., Ltd.",High ESG Risk,31.1
"Roper Technologies, Inc.",Medium ESG Risk,20.4
Rorze Corp.,Medium ESG Risk,22.9
"Roshow Technology Co., Ltd.",High ESG Risk,37.6
Rosneft Oil Co.,Severe ESG Risk,47.8
"Ross Stores, Inc.",Low ESG Risk,18.2
Rossari Biotech Ltd.,Medium ESG Risk,28.2
Rotork Plc,Medium ESG Risk,21.9
Rottneros AB,Medium ESG Risk,23.1
ROUND ONE Corp.,High ESG Risk,34.1
Route Mobile Ltd.,Medium ESG Risk,21.4
"Rover Group, Inc.",Medium ESG Risk,27.4
Rovio Entertainment Oyj,Low ESG Risk,19.9
Royal Bafokeng Platinum Ltd.,Medium ESG Risk,27.2
Royal Bank of Canada,Medium ESG Risk,25.8
Royal Caribbean Group,Medium ESG Risk,20.7
"Royal Gold, Inc.",Negligible ESG Risk,9.7
"Royal Holdings Co., Ltd.",High ESG Risk,32.8
Royal KPN NV,Low ESG Risk,17.2
Royal London Group,Medium ESG Risk,20.8
"Royal Plus Public Co., Ltd.",High ESG Risk,36.8
Royal Schiphol Group NV,Low ESG Risk,13.7
Royal Unibrew A/S,Low ESG Risk,15.5
Royal Vopak NV,Medium ESG Risk,27.9
Royalty Pharma Plc,Medium ESG Risk,28.0
"RPA Holdings, Inc.",High ESG Risk,39.3
"RPC, Inc.",High ESG Risk,32.0
"RPM International, Inc.",High ESG Risk,32.6
RPT Realty,Low ESG Risk,14.1
RS Group Plc,Negligible ESG Risk,6.4
RS Technologies Co. Ltd.,High ESG Risk,38.3
RTL Group SA,Low ESG Risk,14.6
RTX A/S,Low ESG Risk,15.4
RTX Corp.,High ESG Risk,31.0
Rubis SCA,High ESG Risk,30.7
"Ruentex Development Co., Ltd.",Medium ESG Risk,20.4
Ruentex Engineering & Construction Co. Ltd.,Severe ESG Risk,43.2
Ruentex Industries Ltd.,Low ESG Risk,18.7
RUMO SA,Medium ESG Risk,27.8
Run Long Construction Co. Ltd.,Severe ESG Risk,43.2
Rural Funds Group,Low ESG Risk,16.6
"Rush Enterprises, Inc.",Medium ESG Risk,20.2
"Rush Street Interactive, Inc.",High ESG Risk,30.6
"Russel Metals, Inc.",Low ESG Risk,18.5
Rutas del Este SA,Negligible ESG Risk,7.0
Ruwais Power Co. PJSC,High ESG Risk,31.7
RVRC Holding AB,Low ESG Risk,18.0
RWE AG,Medium ESG Risk,23.5
RWS Holdings Plc,Low ESG Risk,15.3
"RXO, Inc.",Medium ESG Risk,20.7
"RxSight, Inc.",Medium ESG Risk,21.6
"Ryan Specialty Holdings, Inc.",Medium ESG Risk,24.2
Ryanair Holdings Plc,Medium ESG Risk,23.6
"Ryder System, Inc.",Low ESG Risk,15.0
Ryerson Holding Corp.,Medium ESG Risk,21.7
Ryman Healthcare Ltd.,High ESG Risk,32.6
"Ryman Hospitality Properties, Inc.",Low ESG Risk,16.9
Ryobi Ltd.,High ESG Risk,36.5
Ryoden Corp.,Low ESG Risk,12.1
"Ryohin Keikaku Co., Ltd.",Medium ESG Risk,21.6
"Ryosan Co., Ltd.",Low ESG Risk,11.1
Ryoyo Electro Corp.,Low ESG Risk,15.3
Ryvu Therapeutics SA,Medium ESG Risk,22.8
"S Foods, Inc.",Medium ESG Risk,20.8
S IMMO AG,Low ESG Risk,12.2
S P Setia Bhd.,Low ESG Risk,13.2
S-1 Corp. (Korea),Low ESG Risk,19.9
"S-Enjoy Service Group Co., Ltd.",Low ESG Risk,18.8
S-Oil Corp.,High ESG Risk,33.1
"S-Pool, Inc.",Low ESG Risk,19.6
"S. Kijchai Enterprise Public Co., Ltd.",Medium ESG Risk,25.0
"S.C. Johnson & Son, Inc.",Medium ESG Risk,25.3
"S.F. Holding Co., Ltd.",Low ESG Risk,19.0
"S.M. Entertainment Co., Ltd.",Medium ESG Risk,21.2
S.T. Corp.,High ESG Risk,30.4
"S&P Global, Inc.",Low ESG Risk,13.0
S&S TECH Corp.,Medium ESG Risk,26.4
"S&T Bancorp, Inc.",High ESG Risk,31.6
S&U Plc,Medium ESG Risk,26.8
S4 Capital Plc,Low ESG Risk,19.2
Sa Sa International Holdings Ltd.,Low ESG Risk,17.3
Saab AB,Medium ESG Risk,24.2
Säästöpankkiliitto osk,Low ESG Risk,18.7
Saavi Energia BV,Severe ESG Risk,55.5
Saavi Energía S. de R.L. de C.V.,Severe ESG Risk,42.3
Sabal Trail Transmission LLC,Medium ESG Risk,29.3
Sabey Data Center Asset Holdings LLC,High ESG Risk,35.8
SABIC Agri-Nutrients Co.,Severe ESG Risk,40.4
"Sabra Health Care REIT, Inc.",Low ESG Risk,13.0
Sabre Corp.,Medium ESG Risk,23.0
Sabre Insurance Group Plc,Medium ESG Risk,22.7
"Sabuy Technology Public Co., Ltd.",Medium ESG Risk,26.4
Sacyr SA,Low ESG Risk,19.7
Sadovaya Group,Severe ESG Risk,67.1
SAES Getters SpA,Low ESG Risk,13.0
SAF-HOLLAND SE,Low ESG Risk,15.9
Safari Industries (India) Ltd.,Low ESG Risk,18.5
"Safe Bulkers, Inc.",Medium ESG Risk,21.5
"Safehold, Inc.",Low ESG Risk,14.7
Safestore Holdings Plc,Low ESG Risk,12.8
"Safety Insurance Group, Inc.",Medium ESG Risk,28.9
Safilo Group SpA,Low ESG Risk,14.3
Safran SA,Medium ESG Risk,23.9
Saga Plc,High ESG Risk,31.1
Sagami Holdings Corp.,High ESG Risk,37.0
Sagax AB,Low ESG Risk,17.6
"SAGE Therapeutics, Inc.",Medium ESG Risk,22.3
Sagicor Financial Co. Ltd.,High ESG Risk,32.7
Sahara International Petrochemical Co.,Medium ESG Risk,27.9
"Sai Microelectronics, Inc.",Severe ESG Risk,41.7
"Saia, Inc.",Low ESG Risk,17.6
"Saibu Gas Holdings Co., Ltd.",High ESG Risk,35.6
SAIC Motor Corp. Ltd.,High ESG Risk,36.6
"Sailun Group Co., Ltd.",Medium ESG Risk,27.3
"Saint Marc Holdings Co., Ltd.",High ESG Risk,35.4
Saipem SpA,Low ESG Risk,19.0
"Saizeriya Co., Ltd.",High ESG Risk,34.3
"Sakai Chemical Industry Co., Ltd.",High ESG Risk,39.0
"Sakai Moving Service Co., Ltd.",Medium ESG Risk,21.8
Sakata Inx Corp.,High ESG Risk,32.6
Sakata Seed Corp.,Severe ESG Risk,44.2
"Sakura Development Co., Ltd.",Low ESG Risk,19.4
Sala Corp.,Severe ESG Risk,44.2
Salcef Group SpA,Medium ESG Risk,23.1
"Salesforce, Inc.",Low ESG Risk,14.9
Salhia Real Estate Co.,Medium ESG Risk,24.7
Salik Co. PJSC,Low ESG Risk,15.0
"Sally Beauty Holdings, Inc.",Low ESG Risk,17.7
SalMar ASA,Medium ESG Risk,20.2
Saltaire Finance Plc,Medium ESG Risk,28.5
Salute Mission Critical LLC,Low ESG Risk,18.7
Salvatore Ferragamo SpA,Low ESG Risk,11.3
Salzgitter AG,High ESG Risk,36.5
"SAM CHUN DANG PHARM Co., Ltd.",Severe ESG Risk,42.1
SAM Engineering & Equipment (M) Bhd.,Medium ESG Risk,27.4
Samart Corp Public Co. Ltd.,Medium ESG Risk,24.7
"SAMBU ENGINEERING & CONSTRUCTION Co., Ltd.",Severe ESG Risk,55.0
"Samchully Co., Ltd.",Severe ESG Risk,41.7
Samhällsbyggnadsbolaget I Norden AB,Low ESG Risk,12.0
"Sammons Financial Group, Inc.",High ESG Risk,35.0
Sampo Corp.,Medium ESG Risk,22.8
Sampo Oyj,Low ESG Risk,15.4
Samruk-Energy JSC,Medium ESG Risk,24.1
Samruk-Kazyna Sovereign Wealth Fund JSC,Medium ESG Risk,22.9
"Samsara, Inc.",Low ESG Risk,19.7
Samsonite International SA,Low ESG Risk,15.6
"SAMSUNG BIOLOGICS Co., Ltd.",Low ESG Risk,17.6
Samsung C&T Corp.,High ESG Risk,30.9
"Samsung Card Co., Ltd.",Medium ESG Risk,20.3
"Samsung Electro-Mechanics Co., Ltd.",Low ESG Risk,13.4
"Samsung Electronics Co., Ltd.",Low ESG Risk,17.8
"Samsung Engineering Co., Ltd.",High ESG Risk,30.6
"Samsung Fire & Marine Insurance Co., Ltd.",Medium ESG Risk,21.5
"Samsung Heavy Industries Co., Ltd.",Medium ESG Risk,23.2
"Samsung Life Insurance Co., Ltd.",Low ESG Risk,19.4
"SAMSUNG PHARMACEUTICAL Co., Ltd.",Severe ESG Risk,44.0
"Samsung SDI Co., Ltd.",Low ESG Risk,13.9
"SAMSUNG SDS CO., LTD.",Low ESG Risk,18.2
"Samsung Securities Co., Ltd.",Medium ESG Risk,28.0
"Samty Co., Ltd.",Medium ESG Risk,24.8
Samty Residential Investment Corp.,Medium ESG Risk,20.6
Samvardhana Motherson International Ltd.,Medium ESG Risk,22.8
"SAMWHA CAPACITOR Co., Ltd.",Medium ESG Risk,26.0
Samyang Corp.,Severe ESG Risk,50.9
"SAMYANG FOODS Co., Ltd.",Severe ESG Risk,41.6
Samyang Holdings Corp.,Severe ESG Risk,45.5
San Diego Gas & Electric Co.,High ESG Risk,32.0
"San Fu Chemical Co., Ltd.",Medium ESG Risk,24.8
"San ju San Financial Group, Inc.",High ESG Risk,30.4
San Miguel Corp.,Severe ESG Risk,40.2
"San Miguel Food & Beverage, Inc.",High ESG Risk,34.2
San Miguel Industrias PET SA,Medium ESG Risk,20.9
San Shing Fastech Corp.,Medium ESG Risk,29.2
"SAN-A CO., LTD.",Medium ESG Risk,25.7
"SAN-AI OBBLI Co., Ltd.",Severe ESG Risk,41.9
San-in Godo Bank Ltd.,Medium ESG Risk,27.1
"Sana Biotechnology, Inc.",Medium ESG Risk,26.8
Sanan Optoelectronics Co. Ltd.,Severe ESG Risk,46.6
"Sanara MedTech, Inc.",Medium ESG Risk,23.5
"SanBio Co., Ltd.",High ESG Risk,35.4
Sanctuary Housing Association,Low ESG Risk,18.2
Sandfire Resources Ltd.,High ESG Risk,32.1
"SandRidge Energy, Inc.",Severe ESG Risk,51.7
Sands China Ltd.,Low ESG Risk,18.1
Sandstorm Gold Ltd.,Low ESG Risk,11.8
Sandvik Aktiebolag,Medium ESG Risk,22.9
"Sandy Spring Bancorp, Inc.",Medium ESG Risk,27.4
"Sanei Architecture Planning Co., Ltd.",Medium ESG Risk,27.7
Sanford Ltd.,Medium ESG Risk,28.5
"SANG-A FRONTEC Co., Ltd.",Medium ESG Risk,25.7
"Sangamo Therapeutics, Inc.",Medium ESG Risk,27.1
Sangetsu Corp.,Low ESG Risk,14.0
"Sangfor Technologies, Inc.",Medium ESG Risk,25.2
"Sangsangin Co., Ltd.",Medium ESG Risk,26.2
Saniona AB,High ESG Risk,36.1
"Sankei Real Estate, Inc.",Medium ESG Risk,22.5
"Sanken Electric Co., Ltd.",High ESG Risk,31.4
"Sanki Engineering Co., Ltd.",Medium ESG Risk,30.0
"Sankyo Co., Ltd.",Low ESG Risk,15.8
"Sankyo Seiko Co., Ltd.",Medium ESG Risk,22.8
"Sankyo Tateyama, Inc.",High ESG Risk,35.7
"Sankyu, Inc.",Medium ESG Risk,25.3
Sanlam Ltd.,Medium ESG Risk,21.9
Sanlorenzo SpA,Low ESG Risk,10.3
Sanmina Corp.,Negligible ESG Risk,8.6
Sano-Bruno's Enterprises Ltd.,Medium ESG Risk,28.9
Sanofi,Medium ESG Risk,21.2
Sanofi India Ltd.,Medium ESG Risk,25.3
"Sanoh Industrial Co., Ltd.",Medium ESG Risk,23.9
Sanoma Oyj,Low ESG Risk,10.5
"Sanquan Foods Co., Ltd.",High ESG Risk,38.7
"Sanrio Co., Ltd.",Medium ESG Risk,23.3
"Sansan, Inc.",Medium ESG Risk,23.8
Sansera Engineering Ltd.,Low ESG Risk,14.7
"Sanshin Electronics Co., Ltd.",Low ESG Risk,14.7
Sansiri Public Co. Ltd.,Low ESG Risk,17.7
"Sansteel MinGuang Co., Ltd., Fujian",Severe ESG Risk,41.8
"Sansure Biotech, Inc.",Medium ESG Risk,28.8
Santam Ltd.,Medium ESG Risk,24.8
Santander Bank Polska SA,Low ESG Risk,16.9
Santander Consumer Finance SA,Low ESG Risk,11.0
"Santander Holdings USA, Inc.",Negligible ESG Risk,8.4
Santander UK Plc,Medium ESG Risk,25.1
"Santen Pharmaceutical Co., Ltd.",Medium ESG Risk,27.1
Santos Brasil Participações SA,Low ESG Risk,14.3
Santos Ltd.,Severe ESG Risk,42.7
Sanwa Holdings Corp.,Medium ESG Risk,24.0
"Sanwei Holding Group Co., Ltd.",High ESG Risk,35.6
"Sany Heavy Equipment International Holdings Co., Ltd.",Medium ESG Risk,28.7
"Sany Heavy Industry Co., Ltd.",Medium ESG Risk,27.9
"Sanyang Motor Co., Ltd.",Low ESG Risk,13.8
Sanyo Chemical Industries Ltd.,High ESG Risk,33.0
"Sanyo Denki Co., Ltd.",High ESG Risk,31.8
"Sanyo Electric Railway Co., Ltd.",High ESG Risk,32.8
"Sanyo Special Steel Co., Ltd.",High ESG Risk,34.0
"Sanyo Trading Co., Ltd.",Medium ESG Risk,26.5
São Martinho SA,Medium ESG Risk,28.3
SAP SE,Low ESG Risk,12.6
Sapiens International Corp. NV,Medium ESG Risk,24.5
"Sappe Public Co., Ltd.",Medium ESG Risk,30.0
Sapphire Foods India Ltd.,High ESG Risk,32.7
Sappi Ltd.,Low ESG Risk,15.8
Sapporo Holdings Ltd.,Medium ESG Risk,24.7
"Saputo, Inc.",Medium ESG Risk,29.9
"Saramin Co., Ltd.",Low ESG Risk,15.0
Saras SpA,Medium ESG Risk,26.5
Sarawak Oil Palms Bhd.,High ESG Risk,30.6
Saregama India Ltd.,Low ESG Risk,12.1
"Sarepta Therapeutics, Inc.",High ESG Risk,30.8
Sarkuysan Elektrolitik Bakir Sanayi ve Ticaret AS,Medium ESG Risk,21.5
Sartorius AG,Low ESG Risk,17.7
Sartorius Stedim Biotech SA,Low ESG Risk,14.9
SAS AB,High ESG Risk,30.5
Sasa Polyester Sanayi AS,Low ESG Risk,15.4
Sasol Ltd.,High ESG Risk,32.6
Sasseur Real Estate Investment Trust,Low ESG Risk,15.1
"Satellite Chemical Co., Ltd.",High ESG Risk,32.7
Satia Industries Ltd.,Medium ESG Risk,29.4
Sato Holdings Corp.,Negligible ESG Risk,9.2
SATS Ltd.,Medium ESG Risk,26.8
Saudi Airlines Catering Co.,Medium ESG Risk,29.9
Saudi Arabia Refineries Co.,Severe ESG Risk,50.3
Saudi Arabian Mining Co.,Severe ESG Risk,49.4
Saudi Arabian Oil Co.,Severe ESG Risk,43.7
Saudi Automotive Services Co.,Medium ESG Risk,21.7
Saudi Awwal Bank,Medium ESG Risk,27.7
Saudi Basic Industries Corp.,Medium ESG Risk,25.0
Saudi Cement Co.,High ESG Risk,39.1
Saudi Ceramic Co.,High ESG Risk,34.0
Saudi Chemical Co.,High ESG Risk,39.6
Saudi Co. for Hardware,Medium ESG Risk,23.1
Saudi Electricity Co.,High ESG Risk,36.0
Saudi Fisheries Co.,Severe ESG Risk,51.1
Saudi Ground Services Co.,Medium ESG Risk,24.7
Saudi Industrial Investment Group,High ESG Risk,36.6
Saudi Industrial Services Co.,Low ESG Risk,19.6
Saudi Kayan Petrochemical Co.,High ESG Risk,34.3
Saudi National Bank,Medium ESG Risk,27.5
Saudi Pharmaceutical Industries & Medical Appliances Corp.,Severe ESG Risk,41.7
Saudi Public Transport Co.,Medium ESG Risk,28.8
Saudi Real Estate Co.,Medium ESG Risk,29.0
Saudi Research & Media Group,Low ESG Risk,16.1
Saudi Tadawul Group Holding Co.,High ESG Risk,33.3
Saudi Telecom Co.,Medium ESG Risk,21.1
Saudia Dairy & Foodstuff Co.,High ESG Risk,32.6
"Saul Centers, Inc.",Medium ESG Risk,23.9
"Savara, Inc.",Medium ESG Risk,25.8
Savaria Corp.,High ESG Risk,37.4
Savencia SA,High ESG Risk,36.5
Savills Plc,Negligible ESG Risk,9.6
Savior Lifetec Corp.,Medium ESG Risk,24.8
Savola Group,Severe ESG Risk,45.4
"SAWAI GROUP HOLDINGS Co., Ltd.",Medium ESG Risk,29.4
Sayona Mining Ltd.,Severe ESG Risk,52.6
SB Technology Corp.,Medium ESG Risk,20.7
SBA Communications Corp.,Low ESG Risk,10.4
SBAB Bank AB (publ),Low ESG Risk,17.2
Sberbank Russia PJSC,High ESG Risk,35.3
SBI Cards & Payment Services Ltd.,Low ESG Risk,18.7
"SBI Holdings, Inc.",High ESG Risk,32.3
SBI Life Insurance Co. Ltd.,Medium ESG Risk,25.3
SBI Shinsei Bank Ltd.,Medium ESG Risk,29.1
"SBL Holdings, Inc.",High ESG Risk,34.9
SBM Offshore NV,Low ESG Risk,15.3
"SBS Holdings, Inc.",Medium ESG Risk,23.1
"SC Asset Corp. Public Co., Ltd.",Medium ESG Risk,20.1
"Scala, Inc. (Japan)",Medium ESG Risk,24.4
Scales Corp. Ltd.,High ESG Risk,37.7
Scandi Standard AB,Medium ESG Risk,21.7
Scandic Hotels Group AB,Medium ESG Risk,23.7
Scandinavian Tobacco Group A/S,High ESG Risk,31.2
Scania CV AB,Medium ESG Risk,26.1
"ScanSource, Inc.",Negligible ESG Risk,8.9
Scatec ASA,Low ESG Risk,12.8
SCB X Public Co. Ltd.,Medium ESG Risk,26.1
SCE Intelligent Commercial Management Holdings Ltd.,Low ESG Risk,17.8
Scentre Group,Negligible ESG Risk,8.0
Scentre Management Ltd.,Medium ESG Risk,28.0
SCG Ceramics Public Co. Ltd.,Low ESG Risk,11.5
"SCG Packaging Public Co., Ltd.",Low ESG Risk,15.1
Schaeffler AG,Low ESG Risk,10.4
Schaeffler India Ltd.,Low ESG Risk,14.0
Schibsted ASA,Low ESG Risk,11.2
Schindler Holding AG,Low ESG Risk,19.9
Schlumberger GmbH /Austria/,High ESG Risk,31.4
Schlumberger NV,Medium ESG Risk,20.3
Schneider Electric SE,Low ESG Risk,10.5
"Schneider National, Inc.",Low ESG Risk,17.5
Schoeller-Bleckmann Oilfield Equipment AG,Medium ESG Risk,29.2
Scholar Rock Holding Corp.,Medium ESG Risk,28.9
Scholastic Corp.,Low ESG Risk,15.0
Schouw & Co A/S,High ESG Risk,30.1
Schroder European Real Estate Investment Trust Plc,Medium ESG Risk,29.2
Schroder Real Estate Investment Trust Ltd.,Low ESG Risk,13.0
Schroders Plc,Low ESG Risk,17.8
"Schrödinger, Inc.",Low ESG Risk,19.5
Schwarz Group,Medium ESG Risk,20.1
Schweiter Technologies AG,Medium ESG Risk,26.0
Science Applications International Corp.,Medium ESG Risk,23.9
Scientex Bhd.,Medium ESG Risk,20.2
ScinoPharm Taiwan Ltd.,Medium ESG Risk,27.2
Scope Metals Group Ltd.,Medium ESG Risk,29.6
SCOR SE,Low ESG Risk,18.4
"Scorpio Tankers, Inc.",High ESG Risk,36.9
Scotland Gas Networks Plc,High ESG Risk,30.5
Scottish Hydro Electric Transmission Plc,Medium ESG Risk,25.6
Scotts Miracle-Gro Co.,High ESG Risk,39.8
Scout24 SE,Low ESG Risk,13.9
SCR-Sibelco NV,Medium ESG Risk,21.0
SCREEN Holdings Co. Ltd.,Low ESG Risk,18.6
SCSK Corp.,Low ESG Risk,19.8
"Sculptor Capital Management, Inc.",High ESG Risk,33.3
"SD Biosensor, Inc.",High ESG Risk,36.3
SDI Corp.,Medium ESG Risk,22.1
"SDIC Capital Co., Ltd.",High ESG Risk,34.1
"SDIC Power Holdings Co., Ltd.",Severe ESG Risk,48.4
Sdiptech AB,Low ESG Risk,16.0
Sea Ltd. (Singapore),Medium ESG Risk,22.5
Sea to Sky Highway Investment LP,Severe ESG Risk,45.7
Seaboard Corp.,Severe ESG Risk,50.8
"Seabridge Gold, Inc.",High ESG Risk,30.9
Seacoast Banking Corp. of Florida,Medium ESG Risk,25.3
"Seacor Marine Holdings, Inc.",High ESG Risk,34.7
Seadrill Ltd.,Medium ESG Risk,29.2
Seafire AB,Medium ESG Risk,20.1
Seagate Technology Holdings Plc,Low ESG Risk,12.5
Seagen Inc.,Medium ESG Risk,27.1
SeAH Besteel Holdings Corp.,Severe ESG Risk,41.9
SeAH Steel Holdings Corp.,High ESG Risk,37.5
"Sealand Securities Co., Ltd.",High ESG Risk,34.9
Sealed Air Corp.,Low ESG Risk,16.0
Seaspan Corp.,Low ESG Risk,18.1
Seatrium Ltd.,High ESG Risk,32.8
"SeaWorld Entertainment, Inc.",Medium ESG Risk,29.8
Seazen Group Ltd.,Medium ESG Risk,20.9
Seazen Holdings Co. Ltd.,Medium ESG Risk,22.4
SEB SA,Medium ESG Risk,21.4
"SEBANG Co., Ltd.",Low ESG Risk,16.2
"SEBANG GLOBAL BATTERY Co., Ltd.",Medium ESG Risk,20.5
Séché Environnement SA,Low ESG Risk,18.9
SECO SpA,Low ESG Risk,17.6
"SECOM Co., Ltd.",Low ESG Risk,17.6
Sectra AB,Low ESG Risk,18.2
secunet Security Networks AG,Medium ESG Risk,23.9
"Secure Energy Services, Inc.",Medium ESG Risk,24.0
Secure Trust Bank Plc,High ESG Risk,30.7
"Securian Financial Group, Inc.",Medium ESG Risk,25.4
Securitas AB,Low ESG Risk,13.3
Security Bank Corp. (Philippines),High ESG Risk,32.0
Security National Financial Corp.,High ESG Risk,34.9
Sedana Medical AB,Medium ESG Risk,24.9
"Seegene, Inc.",Medium ESG Risk,25.9
SEEK Ltd.,Low ESG Risk,11.6
"Seer, Inc. (California)",Medium ESG Risk,27.0
Seera Holding Group,High ESG Risk,35.9
"Sega Sammy Holdings, Inc.",Low ESG Risk,14.3
SEGRO PLC,Negligible ESG Risk,7.9
SEI Investments Co.,Medium ESG Risk,21.2
"Seibu Holdings, Inc.",Low ESG Risk,18.8
Seika Corp.,Medium ESG Risk,28.6
Seikagaku Corp.,High ESG Risk,32.2
Seiko Epson Corp.,Low ESG Risk,10.5
Seiko Group Corp.,Low ESG Risk,18.0
"Seino Holdings Co., Ltd.",Low ESG Risk,17.8
"Seiren Co., Ltd.",Medium ESG Risk,21.1
Sekerbank TAS,Medium ESG Risk,27.1
"Sekisui Chemical Co., Ltd.",High ESG Risk,30.3
"Sekisui House Reit, Inc.",Negligible ESG Risk,9.3
"Sekisui House, Ltd.",Low ESG Risk,17.3
Sekisui Jushi Corp.,Medium ESG Risk,24.2
"Sekisui Kasei Co., Ltd.",High ESG Risk,31.0
Selçuk Ecza Deposu Ticaret ve Sanayi AS,Medium ESG Risk,20.2
Select Harvests Ltd.,High ESG Risk,31.2
Select Medical Holdings Corp.,High ESG Risk,30.4
"Select Water Solutions, Inc.",Medium ESG Risk,24.3
"Selective Insurance Group, Inc.",Medium ESG Risk,25.1
"SelectQuote, Inc.",Medium ESG Risk,26.0
Self-Governing Dependency of the Isle of Man,Low ESG Risk,14.5
Sella Capital Real Estate Ltd.,Medium ESG Risk,23.5
SELP Finance SARL,Low ESG Risk,16.3
Selvita SA,High ESG Risk,32.1
Semapa Sociedade de Investimento e Gestão SGPS SA,Medium ESG Risk,24.2
Sembcorp Industries Ltd.,High ESG Risk,35.2
Semiconductor Manufacturing Electronics (Shaoxing) Corp.,High ESG Risk,36.2
Semiconductor Manufacturing International Corp.,High ESG Risk,33.3
Semirara Mining & Power Corp.,High ESG Risk,33.0
Semperit AG Holding,Low ESG Risk,15.8
Sempra,Medium ESG Risk,23.9
"SEMrush Holdings, Inc.",Medium ESG Risk,23.0
Semtech Corp.,Low ESG Risk,13.5
"Senao International Co., Ltd.",Low ESG Risk,15.0
