Company,ESG Risk Rating,Score
Akcansa Cimento Sanayi ve Ticaret AS,High ESG Risk,30.0
"Akebono Brake Industry Co., Ltd.",Medium ESG Risk,24.9
Akelius Residential Property AB,Low ESG Risk,15.1
Aker ASA,Low ESG Risk,14.5
Aker BP ASA,High ESG Risk,34.7
Aker Carbon Capture AS,Low ESG Risk,18.8
Aker Horizons ASA,Medium ESG Risk,21.0
Aker Solutions ASA,Medium ESG Risk,23.4
"Akero Therapeutics, Inc.",High ESG Risk,31.7
"Akeso, Inc.",High ESG Risk,35.3
Akis Gayrimenkul Yatirim Ortakligi AS,Low ESG Risk,13.4
"Akoustis Technologies, Inc.",Medium ESG Risk,23.7
"Akoya Biosciences, Inc.",High ESG Risk,31.8
Aksa Akrilik Kimya Sanayii AS,Low ESG Risk,11.4
Aksa Enerji Üretim AS,High ESG Risk,37.1
Aksigorta AS,Medium ESG Risk,24.4
Aktia Bank Plc,Low ESG Risk,18.8
"Akumin, Inc.",Medium ESG Risk,26.1
AKWEL SA,Low ESG Risk,10.5
Akzo Nobel India Ltd.,High ESG Risk,31.6
Akzo Nobel NV,Medium ESG Risk,20.8
Al Ahli Bank of Kuwait KSC,High ESG Risk,30.8
Al Dawaa Medical Services Co.,Low ESG Risk,19.5
Al Hammadi Holding,High ESG Risk,33.2
Al Jouf Cement Co.,Severe ESG Risk,46.1
Al Masane Al Kobra Mining Co.,Severe ESG Risk,45.4
Al Moammar Information Systems Co.,Medium ESG Risk,27.2
Al Rajhi Bank,Medium ESG Risk,25.3
Al Rajhi Co. for Cooperative Insurance,High ESG Risk,35.4
Al Yah Satellite Communications Co. PJSC,Medium ESG Risk,23.0
Al-Jouf Agricultural Development Co.,Severe ESG Risk,47.4
Alabama Power Co.,Severe ESG Risk,42.6
ALAFCO Aviation Lease & Finance Co.,High ESG Risk,30.8
AlAmar Foods Co.,High ESG Risk,34.9
"Alamo Group, Inc.",Medium ESG Risk,22.3
"Alamos Gold, Inc.",High ESG Risk,34.7
Alarko Holding AS,High ESG Risk,31.2
"Alarm.com Holdings, Inc.",Medium ESG Risk,24.4
"Alaska Air Group, Inc.",Medium ESG Risk,26.1
Albany International Corp.,Low ESG Risk,18.8
Albaraka Türk Katilim Bankasi AS,Medium ESG Risk,27.5
Albemarle Corp.,Medium ESG Risk,23.7
Alberta Capital Finance Authority,Low ESG Risk,19.4
Alberta PowerLine LP,Severe ESG Risk,45.7
"Albertsons Cos., Inc.",High ESG Risk,32.7
Alchip Technologies Ltd.,High ESG Risk,32.6
Alcoa Corp.,Medium ESG Risk,26.7
Alcon AG,Medium ESG Risk,24.0
ALCONIX Corp.,Severe ESG Risk,47.9
ALD SA,Low ESG Risk,10.9
Aldar Investment Properties LLC,Negligible ESG Risk,9.5
Aldar Properties PJSC,Low ESG Risk,15.9
"Aldeyra Therapeutics, Inc.",Medium ESG Risk,29.3
Aldrees Petroleum & Transport Services Co.,Severe ESG Risk,46.5
Aleatica SAB de CV,Low ESG Risk,11.9
"Alector, Inc.",Medium ESG Risk,27.3
"Alectra, Inc. (Canada)",High ESG Risk,36.0
Alembic Pharmaceuticals Ltd.,High ESG Risk,34.1
Alerion Cleanpower SpA,Medium ESG Risk,24.0
Alerus Financial Corp.,Medium ESG Risk,29.8
"Alexander & Baldwin, Inc.",Medium ESG Risk,21.2
"Alexander Marine Co., Ltd.",Low ESG Risk,13.7
"Alexander's, Inc.",Medium ESG Risk,20.2
Alexandria Mineral Oils Co.,High ESG Risk,33.0
"Alexandria Real Estate Equities, Inc.",Low ESG Risk,13.2
Alfa Desarrollo SpA,High ESG Risk,31.3
Alfa Financial Software Holdings Plc,Low ESG Risk,14.5
Alfa Laval AB,Medium ESG Risk,23.8
Alfa SAB de CV,Severe ESG Risk,49.4
Alfen NV,Medium ESG Risk,20.3
Alfresa Holdings Corp.,Low ESG Risk,18.1
Algonquin Power & Utilities Corp.,Medium ESG Risk,21.3
Algonquin Power Corp.,Medium ESG Risk,28.1
ALi Corp.,High ESG Risk,38.0
Aliaxis SA,High ESG Risk,30.7
Alibaba Group Holding Ltd.,Medium ESG Risk,24.7
Alibaba Health Information Technology Ltd.,Medium ESG Risk,21.7
Alibaba Pictures Group Ltd.,Low ESG Risk,18.9
Alicorp SAA,High ESG Risk,33.5
"Alight, Inc.",Low ESG Risk,17.5
"Align Technology, Inc.",Low ESG Risk,18.9
Aligned Data Centers LLC,Medium ESG Risk,23.2
